,match,time,slot,text,target
3583,1511,-33.7251,5,Merry christmas and a lispy new year!,0
3592,1511,2329.84828,5,ROFL HE WAS GOING TO TAKE AEGIS,0
3601,1518,1276.52167,4,is my pudge gonna do sometihng,0
3602,1519,2143.53198,8,i hiea best,0
3606,1520,609.51787,9,what?,0
3609,1521,-124.71398,2,much cute very strength ,0
3611,1521,2706.4107,0,tinker without aghs,0
3613,1521,2724.1712,4,THATS WHY WE LOST ,0
3614,1521,2725.9104,4,NO AGHS TINKER ,0
3620,1526,1199.04056,9,team is farming ,0
3625,1531,2269.3122,7,knowledge,0
3627,1534,1515.299,8,game eazier without tinker,0
3628,1535,12.09703,5,paiowhnfoawf,0
3647,1539,3520.5436,1,cna't push wihtout killing dumbasses,0
3649,1539,3561.6837,1,Leanr some game awareness zeus,0
3660,1540,2723.24571,3,1 HOUR CONNECTING,0
3662,1540,2795.02351,3,report me please,0
3663,1540,2801.11091,3,everything my fault,0
3678,1542,-54.48987,8,"If you find many cancer in your games, you are the cancer",0
3683,1542,966.99722,6,hey,0
3684,1542,986.39252,9,how much buy?,0
3693,1543,642.27652,0,party?,0
3695,1546,635.6115,5,worth,0
3697,1548,2156.04956,4,what you laughing for ? wind,0
3701,1550,789.20732,7,ruin player,0
3703,1550,1916.17742,7,all reproetd pudge,0
3710,1557,521.60599,5,ofoffofo,0
3727,1570,1631.9015,4,not wards in team,0
3734,1575,3720.5339,8,that game,0
3735,1576,1599.5094,5,WHAT IS THIS GAME,0
3741,1576,2577.8131,3,gg nice throw ,0
3747,1580,735.95703,2,rly? D ,0
3748,1581,30.05933,5,hoock,0
3755,1583,1593.88596,4,we just cant wait 20min for 1 afk wooden pc,0
3758,1583,1941.63716,0,he is still offline,0
3762,1583,1954.94916,0,do u think ppl want wait?,0
3768,1585,1273.3224,1,are they coming back?,0
3770,1587,2116.40953,7,he has 20 sec,0
3773,1587,3407.94233,5,finaly,0
3776,1588,714.7255,1,in team,0
3789,1597,2167.83618,5,REPORT JUG,0
3792,1598,2483.43928,5,creep will end,0
3794,1600,247.6729,8,big counter picker,0
3795,1602,2243.94791,1,report TA,0
3796,1604,879.352,4,worth?,0
3797,1604,1613.0395,4,when you drop your weapons in the end in cs go,0
3800,1609,2747.09223,8,INVOKER MEMEK,0
3801,1611,2157.36956,4,was fun mid tho,0
3807,1616,-54.7533,3,who ban arc?,0
3809,1616,-21.0282,3,why ban?,0
3811,1616,845.6935,5,he coming,0
3831,1621,1815.38297,9,whats the matter,0
3838,1621,2915.12907,9,ive never played against a bad invoker before though,0
3840,1621,3031.19107,9,best tornado 2018,0
3841,1621,3600.39667,9,professional player,0
3847,1624,48.22156,2,archer,0
3852,1624,1841.17486,4,it matters?,0
3853,1624,1846.12506,8,ofc... ,0
3856,1624,2280.50466,3,on ne snyal tebe 900 hp,0
3858,1629,362.71143,0,scared of a fair match?,0
3865,1630,886.2636,1,really ? me ?,0
3874,1632,1633.60107,0,4th pick2,0
3877,1635,744.67588,9,the sloppy seconds of me taking his mid by force as the superior male,0
3888,1661,3072.68498,8,thx for game,0
3890,1664,1283.55322,2,REPORT LINA,0
3899,1666,2460.01672,2,you won the game,0
3901,1668,2139.25935,4,easy mid,0
3902,1676,443.8583,4,party?,0
3921,1686,2675.66116,4,reported,0
3927,1692,1322.31047,8,aFK,0
3933,1694,767.44596,1,im not your mate guy,0
3934,1694,767.44596,5,his net is gone for a few minutes i think,0
3938,1694,836.89566,4,that killed me once,0
3947,1700,946.6355,8,they rank 200,0
3951,1700,1528.1935,8,hey,0
3957,1700,1567.7838,6,come to his rank ,0
3965,1702,1146.96673,7,wrong chat,0
3967,1702,1189.62293,6,when i saw you youre lvl 12,0
3968,1702,1193.62203,6,im only 9 ish,0
3969,1702,1206.35223,3,hows that displaying that your sf fed?,0
3986,1711,1597.53404,3,ty ,0
3989,1711,2234.30314,7,u sound like that,0
3990,1711,2240.92574,3,i am white,0
3999,1711,2490.77684,3,You are part of that peruvian team,0
4000,1711,2504.82464,3,my invis doesnt come off when i attack,0
4008,1712,1516.06313,4,cuz top was so ez,0
4009,1712,1533.99213,7,nagh hes flaming am for farming,0
4021,1712,1707.47293,9,without treads,0
4032,1712,1761.32303,9,congratz on win,0
4048,1714,2921.30864,4,could you guys plz end now],0
4059,1717,18.86206,4,can we go for it ?,0
4063,1717,1671.8251,1,thinklin,0
4075,1717,1972.9549,5,its automatic system,0
4078,1717,2330.7737,4,it's all about safelane carry D:,0
4084,1717,2463.2918,9,you are boosting ? what exactly,0
4090,1721,1588.74545,9,or u are with them next game,0
4091,1721,1601.14235,9,and he willmake a carry maden with bf,0
4098,1725,997.95636,2,Yall salty its 28-7 at 16 min ,0
4102,1726,1127.0581,4,that,0
4110,1726,1663.4272,7,throne,0
4120,1731,2161.46564,3,realyl puase ,0
4129,1741,1729.50092,8,a ti horow),0
4130,1742,2096.37828,5,worst players,0
4144,1746,1920.33328,3,just normal game all need learn,0
4159,1751,1021.28395,1,its balance game ?,0
4163,1751,1300.01585,6,imeant bot,0
4164,1751,1315.07885,3,he still stayed,0
4175,1755,1500.06707,9,sry 6500 player,0
4184,1755,1575.11537,2,forcestaff,0
4186,1755,1836.20267,9,can we end PLS BRO,0
4198,1770,-16.73691,4,it's my spirit animal,0
4201,1772,-42.65626,5,u r nearly devine,0
4208,1776,920.37532,3,ty bottle,0
4212,1777,1725.94524,4,for saving world,0
4213,1777,1733.21014,2,REPORT MK FFS,0
4216,1778,3352.4901,7,COMEBACK,0
4218,1779,2175.4048,0,where are u creep,0
4242,1785,-76.15015,0,thats how much u will die,0
4261,1792,983.82645,6,ruined my second game,0
4274,1795,1082.3024,2,just report them,0
4290,1797,2027.8851,2,won u the game,0
4313,1801,3941.63192,2,easy game ,0
4314,1804,1013.05267,8,who fed PL,0
4318,1806,3121.3003,7,commed my supp? ,0
4322,1807,-54.38672,2,that good,0
4325,1807,1038.24646,9,no bs you are nothing,0
4329,1807,1589.01196,2,bb fight with me 1vs1,0
4332,1814,2471.8528,8,wp everyone,0
4335,1814,2482.4222,0,have to hunt am at the beginning,0
4336,1818,1410.1301,2,report troolll,0
4337,1820,2820.05018,4,TINKER GO BM,0
4344,1820,3190.17768,4,OUR CM IS MORE FARMED THAN BB,0
4345,1820,3363.76898,3,pls come back ,0
4346,1820,3366.04338,3,show us ,0
4347,1820,3372.19768,3,comeback is real ,0
4350,1820,3398.62098,3,they cant ome back ,0
4358,1824,-76.29586,5,wow extension available for purchase ,0
4388,1840,1497.62812,0,fails of  the week,0
4389,1844,953.5005,5,our 0-5 lina is bitching that im not hard supporting enough,0
4390,1844,2398.689,3,:o,0
4396,1849,2090.2412,2,the comback,0
4398,1850,2312.60864,3,look lycion,0
4400,1856,3138.35913,0,report and ty pa,0
4406,1860,1946.77425,1,lol push bottom ,0
4408,1862,-329.529557,2,waited for brew?,0
4419,1868,-281.071892,2,you guys know lucas?,0
4422,1868,1885.1617,2,ggwp gl nex ttyea,0
4423,1868,1897.7378,6,merry xmas,0
4430,1877,806.73635,2,i timed that well too ,0
4438,1877,1549.75495,2,and seeing you dance around,0
4439,1877,1567.55055,8,its pretty entertaining to have 0 help,0
4447,1880,2545.85717,6,Commend team,0
4452,1882,1166.41524,4,balacned hero i think,0
4458,1882,1662.86114,4,thank you,0
4463,1882,1908.02954,4,in my team,0
4468,1888,788.6075,6,g next,0
4470,1889,724.90789,6,void how you gonna take longer than an ogre magi to get a battlefury,0
4474,1890,600.48674,9,come here,0
4477,1890,828.36444,3,i'm top 200 brew dotabuff,0
4479,1890,1054.67584,0,ITS ME,0
4504,1906,2134.42155,6,THATS WHY YOU TRIED TO KS RIGHT?,0
4505,1906,2149.20525,7,to have some wards,0
4522,1910,1197.57428,8,its invisible?!/!,0
4523,1910,3595.37088,6,ty for feed,0
4528,1920,1023.02146,7,"ns ,s ybxt yt cltkfk",0
4529,1923,3077.36114,0,o it tickles me,0
4533,1926,2291.63597,1,for what?,0
4543,1929,3672.53978,1,ty for rapiers,0
4545,1930,651.70756,5,ty x,0
4548,1932,709.82674,4,up the secret shop,0
4561,1936,10.99732,1,feed mid pls,0
4566,1937,15.59618,3,thanks for waiting,0
4593,1957,-75.54822,7,my anus is itching,0
4604,1969,-272.803555,7,ITS THE BIG SHOWWWWWWWWWWWWWWWWW,0
4608,1969,1615.53885,5,WHAT THE ROCK,0
4611,1971,38.224,6,gl leveling with level 1 bolt,0
4617,1971,1610.74,7,too late,0
4631,1974,3481.32547,1,REPORT TINKER,0
4643,1977,2520.66746,2,report sf ty,0
4654,1984,-60.60199,3,he only played dota this long so that in this one game he could dc,0
4655,1984,-60.60199,3,and laugh at how long we stay paused for him.,0
4658,1987,681.1004,8,Report death pls,0
4666,1988,2195.4218,1,you are support though,0
4667,1988,2549.4277,8,eam,0
4680,1990,579.04698,6,hes comeing back,0
4686,1992,2021.26977,4,lol chasin,0
4691,1994,-60.77965,8,report sf ty,0
4699,1998,384.27288,1,how acn you be so lucky,0
4705,2002,1145.0871,4,and  lose me the game,0
4707,2002,1241.9634,4,rofl,0
4714,2008,729.3886,5,sorry we don't speak dead languages,0
4720,2008,931.0727,0,top eu players there,0
4722,2008,2520.1386,6,any words tree?,0
4724,2010,-17.23549,2,what is a meepo,0
4728,2010,1151.20595,0,anything else tbh,0
4732,2010,1284.57345,6,akhmed is it you?,0
4738,2010,1995.78165,0,how about we talk about this huskar,0
4739,2010,1995.78165,6,he's good right?,0
4749,2010,1996.51755,8,USE BLOODSTONE,0
4751,2010,2157.03095,2,I no longer like your build bh,0
4752,2010,2159.84055,2,it's ew,0
4762,2015,1721.26196,1,he is dead,0
4763,2015,1721.26196,7,well u would wait forever mate,0
4764,2015,1721.26196,2,if he actually killed himself,0
4770,2018,257.1372,2,CANT LAST HIT ROFL,0
4772,2018,590.3892,6,hes raging,0
4777,2022,2793.12103,0,ty for game,0
4782,2023,767.04602,5,worth it,0
4786,2025,-22.76111,3,we lose this,0
4797,2028,550.26564,6,HE WENT INSANE LIKE ME,0
4798,2028,567.59474,6,IT HAPPENS WHEN YOU PLAY ON 2K FOR TOO LONG,0
4806,2033,-204.45646,9,you are being toxic now :thinking:,0
4807,2033,-204.12305,5,who are you talking to....,0
4810,2033,-176.51715,8,"yeah, no.  wasn't in your last game ",0
4826,2033,555.76428,1,hey aa you do realzie we have a pa,0
4833,2033,1183.41108,0,you can only run for so long,0
4834,2033,1253.39398,3,storm stop feed plz,0
4838,2033,1374.29778,3,he cant take it,0
4844,2033,1732.28868,6,techies is a fine pick,0
4848,2033,1877.78428,1,is this -50?,0
4849,2033,1879.12218,1,for you,0
4857,2038,1969.68526,8,sniper best carry,0
4859,2039,358.44583,9,"tell ya, he was upset there werent enough PV in this game",0
4862,2039,366.51052,9,"its like a debased form of spanish, more so then mexican spanish",0
4865,2041,-3.76574,1,for the record,0
4867,2041,-3.76574,1,i woudl let him live,0
4874,2044,456.16866,3,try,0
4882,2046,1575.9152,6,not even close bro,0
4886,2046,2812.6761,5,yeah but chaos is OP,0
4888,2050,1707.65217,6,4to ty budew,0
4905,2059,375.97489,7,sorry but my team useing my shine alone,0
4906,2059,588.45634,7,Faster as i can,0
4921,2059,1813.53584,7,for real?,0
4922,2059,1884.10954,7,this game :DDDDDDDDDD,0
4929,2063,10.59741,5,f9 please,0
4930,2063,90.84447,1,Pls f9,0
4931,2063,93.71044,1,wait frn,0
4933,2063,256.13747,0,please be nice,0
4935,2063,784.00857,1,another one,0
4959,2066,918.90894,0,bs player said?,0
4967,2067,3035.6835,2,two hearts sseemsgood,0
4969,2070,7.53494,2,last 3 games not counted because of early abadons,0
4974,2074,561.1297,3,u can't play vs superpudge,0
4979,2079,1878.063,8,report team,0
4982,2083,1756.3081,4,numbers in your languea,0
4984,2084,992.4244,9,this was a smoke,0
4986,2084,2120.8444,7,OSfrog,0
4987,2085,87.01208,9,whats ur problem,0
4990,2085,1605.67455,9,well played sir deserved victory !,0
4994,2086,2584.5957,1,report zeus and necro,0
4996,2086,2681.3921,1,report zus and necro,0
4997,2088,-86.57886,0,He asked for a pause to recconect,0
4998,2090,-47.25512,1,just give me a reason,0
4999,2090,-47.25512,5,cat is on fire,0
5009,2094,591.25565,9,wp tb,0
5011,2096,1622.9371,1,pa and cm,0
5012,2100,1136.96777,7,Treant afk,0
5017,2103,2329.10505,5,best team ever,0
5019,2103,2371.71685,3,"yes, i commend him ",0
5024,2103,2544.03715,9,please wait,0
5034,2111,1275.41358,2,rofl,0
5036,2111,1321.73558,6,dont be salty bro,0
5037,2111,1372.92308,2,rofl ,0
5038,2111,1448.97118,6,lol this guys are mad,0
5048,2113,748.65884,8,he feed cour spam sentry in base,0
5049,2113,749.32534,7,report in  lp,0
5052,2113,784.25014,7,they cant even be 5k cuz they will live in 4k,0
5058,2113,841.16954,7,ye when i win mid 2v1 :D,0
5059,2113,841.96934,2,maybe coz u did not even try to play? ,0
5064,2113,913.68514,2,not gonna waste my time ,0
5070,2122,905.88592,2,use first,0
5074,2130,2012.0024,1,1st time i saw him doing that :O,0
5075,2130,2018.0898,1,and its real,0
5083,2145,1299.88986,8,this dk ratting in turbo game,0
5085,2147,-43.4894,6,hero all late haha,0
5088,2147,1593.211,6,i told start game u all ez win,0
5095,2156,1719.1802,7,hey,0
5111,2165,2113.16125,3,ofc not,0
5112,2165,2129.14905,9,"I mean, you lost bot to a guy that's 1000 mmr higher or so",0
5115,2168,852.6734,1,we'll finish quickly,0
5119,2168,1089.149,1,Just for wanting to play mid,0
5120,2169,-69.18311,8,asec,0
5125,2174,2153.4335,6,who cares,0
5128,2177,1904.54252,4,comend tusk,0
5132,2186,1845.10774,1,top,0
5137,2193,-65.61731,9,Reported tini pls,0
5143,2196,443.79167,4,what a trade luna,0
5144,2197,-57.31224,6,Nope,0
5154,2201,1402.32426,2,buirrit,0
5156,2201,1422.51936,5,rice eating shit lord,0
5161,2202,1152.4853,7,weaver can play with his hero,0
5174,2210,-4.4989,0,change wifi,0
5188,2212,2204.73826,9,U played like u are afraid and turtled 20 mins,0
5192,2213,-6.93164,9,carry only,0
5200,2216,1801.90775,2,then u fginish,0
5203,2223,216.84708,2,report wk,0
5206,2228,3119.04369,7,COME SLARK,0
5207,2228,3169.48209,5,just helping thou,0
5216,2231,2061.9658,3,and report WR,0
5230,2250,2119.9756,0,report pudge,0
5237,2261,806.40312,4,what a hook man,0
5240,2261,2030.96112,3,yeah right,0
5242,2261,2038.78772,8,you had such a strong mid game,0
5245,2261,2054.97622,3,all that farm and i kill 3 hit u,0
5257,2270,776.11047,4,wp team forest,0
5259,2271,-72.24902,2,im gonna pick Skywrath he didnt say,0
5261,2271,-41.25659,1,can i supp with am next game guys?,0
5264,2272,1996.75348,8,"reprot shaker and bs please make mm a better place, gg wp",0
5274,2273,1601.70888,8,another cool game,0
5276,2274,553.6315,8,youtube.com/mirocj01 -----> Divine crusher,0
5277,2274,706.59417,8,youtube.com/mirocj01 -----> Divine crusher,0
5280,2274,1549.25507,9,youtube.com/baboy10 ----->the plays,0
5285,2274,1794.46137,8,youtube.com/mirocj01 -----> Divine crusher,0
5294,2276,1492.3023,5,ty for 25,0
5299,2277,850.12577,0,because he is pro,0
5300,2278,497.05085,2,rofl,0
5307,2290,1364.9667,1,thanks nerf morp,0
5308,2290,1381.2294,5,how to use ulti,0
5312,2290,1458.2106,1,hey can we end ,0
5314,2292,1633.20122,2,is that,0
5327,2305,756.0154,9,dude u will lose eventaully...what are u laughing at,0
5336,2324,870.28756,7,cannot kill tiny,0
5338,2327,98.97583,5,The power of Teamwork,0
5344,2328,1633.53447,3,planted hahaha,0
5347,2328,1834.45277,8,he chrono any1 in his first sight,0
5351,2328,3375.53557,7,cm for the nimbus,0
5354,2330,1595.07718,8,WHAT ARE THEEEESE,0
5369,2338,842.2277,3,this,0
5381,2347,720.52408,9,that was the plan,0
5385,2347,1086.93458,1,you are not pro btw,0
5387,2347,1631.76588,9,what a player,0
5389,2347,1780.84038,9,report dark willow pls,0
5399,2347,2241.27538,9,"but it's ok,",0
5406,2348,1692.85048,6,reprot this wk,0
5409,2352,431.69462,0,why ,0
5411,2352,1459.01042,1,why would u have healin ward ?,0
5412,2353,765.94632,7,whats wrong with you,0
5420,2353,2909.65522,7,1>20 deaths,0
5421,2353,3018.55952,7,we were about to],0
5434,2358,2160.15596,4,coemback,0
5438,2361,1061.37413,2,this storm,0
5439,2361,1146.22013,2,worthÉ,0
5444,2361,1677.96383,2,rofl,0
5451,2362,688.63186,3,pango thx for game,0
5459,2362,1285.88606,5,WHYS THAT,0
5460,2371,2495.45925,5,salve pra twitch,0
5465,2372,1843.1726,4,bm and riki are reported..for constant insulting and feeding,0
5466,2372,1847.4539,4,and then going afk,0
5467,2372,1862.6389,2,and finish ,0
5471,2374,857.19075,4,why,0
5482,2384,593.78836,9,this is a sad storm :),0
5486,2384,1090.30046,9,storm is ulting toward you,0
5487,2384,1112.42836,9,this is my 12 winning streak,0
5490,2384,1243.72966,7,rly usefull stat,0
5491,2384,1809.27906,9,at rosh,0
5493,2395,255.13775,2,cheat??,0
5495,2395,255.13775,2,why,0
5496,2395,255.13775,9,he said so much lag,0
5502,2395,2804.76345,7,this is easy,0
5507,2396,13.59668,5,watch yours then,0
5518,2396,13.59668,2,shaman went to pray ?,0
5527,2396,233.10977,0,watch me,0
5529,2396,251.83853,0,hey,0
5530,2396,318.55557,0,u know knight online ?,0
5537,2408,-46.78857,9,how many sucky sucky for dark artistry,0
5538,2408,1074.4377,7,well played,0
5540,2409,731.58808,6,what are you doing there,0
5541,2409,2657.85318,1,reporrt lc and im fine,0
5557,2415,1283.12004,0,this team .,0
5568,2415,2348.26834,3,reproted ?,0
5572,2415,2740.40404,3,reproted ?,0
5578,2416,3.89904,0,that why i was loser in early,0
5584,2418,264.5354,2,3 misses in a row,0
5590,2420,-127.35708,7,"gg, first time pudge on my team",0
5592,2420,5.56531,7,good torrent,0
5608,2420,1680.92293,7,what is this new 'guardian greaves' item???,0
5612,2420,1997.55593,7,please abandon slark,0
5616,2420,2123.45143,9,in 3 secs you are death,0
5622,2423,1389.36072,4,the entertainment yes,0
5623,2423,2988.48452,4,exactly!,0
5628,2428,1540.84755,9,of course,0
5637,2436,1143.68743,3,thanks,0
5641,2436,1193.40863,2,it nice when ww leaches exp mid,0
5643,2436,1222.26823,3,typical,0
5659,2445,853.8915,5,What were you doing?,0
5680,2450,-13.16346,4,go to the hell jong hyun,0
5684,2451,1819.58098,7,haters,0
5686,2456,820.9329,2,First blood,0
5688,2458,92.1775,0,he said he was lagging,0
5689,2458,768.9456,4,comeback top bb,0
5694,2458,1275.5552,4,where are u bb?,0
5698,2458,1351.9365,6,"i am playing quietly, minding my own business but y keep calling me",0
5706,2459,2204.0575,1,will try,0
5710,2459,2301.6566,1,you all blew your loads on my spikes,0
5724,2466,987.32564,2,jst waste time,0
5726,2466,987.32564,6,No you are strong people ,0
5741,2468,-116.20884,9,ty for acknowledging my skills,0
5753,2468,1958.691,8,quick cast is hard,0
5754,2468,1983.8433,8,better than lycan though,0
5758,2468,2309.8203,5,DIRE HAS JUST 2 HEROES TINKER AND TIMBER,0
5766,2477,-203.53702,7,GUSTO KO SAMPALIN YUNG LIFE STEALER NA NAG RADIANCE 1ST ITEM,0
5769,2477,-52.82044,8,playing vs ti winner,0
5781,2485,253.23819,4,END THE GMAE,0
5782,2485,763.38032,4,END THE GAME ,0
5790,2486,714.85875,8,your s key works,0
5796,2487,1782.73004,5,realy?,0
5809,2490,1913.47389,7,report ls botting,0
5812,2494,703.3616,5,Report monkey,0
5815,2494,725.6228,5,he could farm - he didn't ,0
5819,2494,2791.6708,5,GGWP ty ,0
5829,2505,336.018,3,venge u know ur sapping exp from uir  mid,0
5833,2505,1316.2453,2,Im a try hard yes,0
5835,2507,1055.00445,3,best carry,0
5837,2510,1259.94962,3,forty,0
5839,2511,212.1482,5,exactly,0
5848,2523,2196.38136,9,cmon bruh,0
5857,2527,961.76515,4,or are we in late?,0
5858,2527,1184.07755,9,i came a bit from that,0
5861,2527,1346.83785,3,he is truly a monkey,0
5864,2527,1365.69985,3,please,0
5871,2527,1590.57825,3,rofl,0
5902,2536,1369.3656,0,Was free farm,0
5904,2536,1369.3656,8,bane last pick,0
5908,2536,1404.2904,0,we have nothing to cancel banes ulti,0
5925,2544,1549.95486,5,hate my team,0
5934,2550,-7.1649,0,typical pa player,0
5937,2550,1534.1921,0,Im not even the worst,0
5941,2550,1699.8183,0,i have more farm than pa,0
5946,2551,2314.159,7,merry xmas,0
5950,2556,1452.24537,7,How rude you are,0
5953,2557,2352.31545,3,luna won you the game,0
5957,2563,-169.93848,7,hello ???thailand ??,0
5969,2569,1639.69962,9,clock carry né,0
5977,2572,1246.32181,1,WHY YOU DONT USE IT?,0
5981,2572,1264.65071,1,IM TALKING ABOUT SPELLS,0
5987,2577,1144.45388,2,why thank you sir ,0
5990,2580,3066.4818,3,throw,0
5992,2580,3288.371,3,throw,0
5996,2586,-80.61365,4,Rofl,0
6004,2586,529.93727,0,anyway we r not losing,0
6005,2586,546.23331,5,Just a buch of virgins who cant win at their own mmr,0
6006,2586,546.23331,0,stop cryin?,0
6014,2586,879.58527,5,gl in ur solo games shaman,0
6016,2587,750.85003,9,what is ur brain?,0
6024,2591,15.86279,9,whort >??,0
6025,2591,108.97337,3,"Good Game,Well Played",0
6027,2591,1721.42907,9,realyy alone or with 3 ??,0
6040,2596,1325.15787,1,UNDYING TOO STRONK,0
6045,2599,713.29253,7,Acaboui,0
6046,2599,1588.11223,2,q throw foi esse od,0
6051,2602,1829.02332,8,i tot all of u guys are carry?,0
6052,2602,2964.82562,7,Accout buyer,0
6056,2602,2982.41892,8,3 ancient at btm feed,0
6058,2602,3001.34992,9,LOL when did u see 4 bot? lol,0
6062,2602,3061.85612,9,dark willow pls dont use this hero,0
6067,2606,383.77295,0,it's for you,0
6073,2610,1018.85962,8,scary,0
6074,2610,1023.45852,8,there are no scars,0
6075,2610,1192.55052,3,scary,0
6078,2611,2009.50258,1,bait of the year,0
6081,2619,349.34804,6,she is just having good time with creeps,0
6084,2619,2752.516,9,Is he playing with dial-up?,0
6093,2623,2200.6919,5,you have good team,0
6118,2633,1125.39192,3,my hc is weaver,0
6119,2633,1869.38892,2,weaver handless,0
6128,2637,2533.44744,0,finsih,0
6130,2640,-79.09584,5,nice hair cm,0
6134,2640,1648.3975,5,where is he?,0
6136,2640,1671.9251,4,rip english,0
6139,2641,-34.32495,8,merry xmas! :=),0
6145,2644,1455.37794,5,5k hrs this meepo lmao,0
6149,2644,1903.30774,8,to feed,0
6152,2644,2202.29284,3,rly?,0
6153,2644,2229.25134,5,you wouldnt win if we didnt have this meepo feeding,0
6160,2645,2242.18964,6,on fountain,0
6162,2646,-5.63196,7,wtf is this,0
6170,2646,869.72098,1,but acts like herlad 1,0
6171,2646,876.78588,4,sick insult,0
6176,2646,1121.85938,2,how much you charge a night?,0
6178,2646,1243.86298,1,report wk pls thnaks,0
6179,2646,1246.99548,8,treants hc,0
6180,2649,824.36537,2,throne,0
6182,2652,2937.3106,1,:C,0
6183,2652,2964.0015,0,why yiu focus him ,0
6197,2658,2305.67645,1,cant talk now?,0
6214,2659,2643.50403,7,this zeus,0
6223,2668,-22.2279,3,no tt please :(,0
6227,2678,1515.8632,6,GO END NO TEAM WORK,0
6228,2678,1534.592,6,ALL SOLO GAMING,0
6235,2685,2479.59858,3,a moy kupil bloodthorn?,0
6240,2688,1092.43322,5,creep block is too strong,0
6247,2699,1079.86639,7,report ember pls thanks,0
6249,2700,1294.68385,5,and i wasnt even moving /,0
6250,2700,2546.40505,3,pudge is real,0
6251,2701,408.26699,0,he abandoned last game ,0
6253,2701,2136.64093,6,he dint want to play with tech,0
6254,2701,2140.78833,6,report bh all,0
6257,2702,-78.61414,8,i had this image of cm and mirana blowing sniper,0
6263,2702,-31.99219,8,has a small space,0
6264,2702,-24.26074,8,that shows cleavage,0
6278,2707,2103.53092,3,report trooll,0
6279,2707,2109.48462,1,these guys,0
6286,2716,1175.62549,4,i have nothing,0
6289,2716,1191.08849,4,"yeah, thats it",0
6291,2716,1556.63249,8,i play this hero for the first time,0
6293,2717,2946.53225,2,COMEND,0
6294,2717,3933.33255,2,easy,0
6301,2726,812.94901,1,not really,0
6302,2726,821.68021,9,alright youre just an idiot,0
6305,2726,830.74467,1,not really,0
6313,2734,1431.08387,8,Phew,0
6316,2734,2215.34937,8,Worth,0
6317,2735,1951.38264,5,really?,0
6322,2738,1073.60452,4,ops sorry all chatr,0
6334,2738,3063.79902,3,might as well sell it,0
6341,2743,614.91654,2,Rofl,0
6343,2743,868.78784,5,top,0
6347,2743,1204.83914,2,Who thinks he is miracle,0
6352,2743,1445.71364,2,Ward?,0
6353,2743,1479.90534,2,A anceint acc,0
6357,2743,2953.06374,6,IM ONLY THE RAL MIRACLE,0
6358,2743,2953.59894,2,nothing more,0
6371,2745,2729.69414,4,so glad not losing ot anti fun,0
6372,2746,2208.94396,5,bathrooom,0
6374,2747,1793.47964,3,che nyx,0
6379,2753,1149.05678,4,And is confused as to why shes getting her ass kicked,0
6381,2753,1175.11708,0,this dumbass thinks that turbo means every hero turns into an sb or axe ,0
6388,2754,1510.16463,3,SO GOODp layer stacking armor auras,0
6392,2760,1835.94512,9,why my team like 2k players,0
6395,2761,1043.8785,0,He in game,0
6396,2761,1985.5329,8,have to do this again,0
6398,2762,1883.47504,3,bate mais forte fia,0
6403,2764,1630.66853,5,so typical,0
6405,2767,1812.3706,1,ty for ni bash,0
6421,2771,1822.29034,7,End it,0
6422,2772,-52.0873,0,give reason to pause,0
6423,2772,-32.45875,1,its new years day ,0
6427,2772,1728.4712,5,this void ,0
6433,2774,2951.53857,4,fake ancient,0
6444,2778,-85.28515,5,try to SS our base,0
6447,2778,-85.28515,0,is it wex,0
6449,2778,-85.28515,5,what ?,0
6458,2778,5.76526,5,they will not coming back,0
6462,2782,2516.78768,6,no online steam,0
6470,2789,1431.11726,9,you cant touch this,0
6473,2792,2821.62664,0,good come back wp guys,0
6475,2793,-206.43756,0,it is like my signature hero,0
6480,2793,-69.3164,7,not a single one of them went above 12k networth,0
6482,2793,-49.25464,7,this hero is dead,0
6486,2793,-20.86156,1,that also plays a factor,0
6487,2793,1087.53444,5,report clingz please :),0
6502,2793,1729.19974,7,sorry mate,0
6510,2793,1812.75104,5,come with us pudge,0
6514,2793,1890.08104,7,dont ned bots,0
6521,2793,2486.01104,0,the alcohol u know,0
6526,2793,2541.80104,1,for champagne and sucking,0
6527,2793,2566.41824,7,cant believe how much lion is sucking juggs dick over a joke lol,0
6533,2793,2752.11754,5,that was good,0
6538,2794,1564.28473,9,gl further,0
6541,2794,1607.60743,5,and we have,0
6544,2795,786.80792,4,please,0
6569,2810,1290.88482,4,cause it's gg ,0
6571,2810,1440.64822,4,NO my item  :D,0
6574,2811,1291.9512,7,chen's at your ancients,0
6575,2811,1979.6448,1,add me on snap stormselect12,0
6576,2811,2074.9026,9,Rampage please,0
6581,2816,1789.2116,7,HI AM :),0
6586,2817,210.3153,7,i have one mexican ,0
6588,2820,1936.14484,2,creeps,0
6589,2820,2286.73904,3,Pudge good,0
6593,2822,1293.2176,3,try harder,0
6596,2824,2495.03313,7,kill the siege,0
6611,2828,829.52483,0,cant kill wk?,0
6628,2839,12.16927,8,yeah hes gone,0
6631,2840,-41.48987,2,why is he laning,0
6633,2840,-21.89466,2,is tinker seriously laning?,0
6640,2844,1266.85736,1,hey,0
6644,2846,537.30214,4,hey,0
6647,2846,1636.30044,4,wheres sniper,0
6653,2846,2072.61974,2,he was honestly your best player,0
6672,2851,236.4423,9,so just wait,0
6676,2851,898.414,6,we're not entirely sure,0
